Pin Name,Pin Index,LOC,DIFF_TERM,DRIVE,IOSTANDARD,SLEW,TIG
LEDs_8Bits_TRI_IO,0,T22,,,LVCMOS33,,
LEDs_8Bits_TRI_IO,1,T21,,,LVCMOS33,,
LEDs_8Bits_TRI_IO,2,U22,,,LVCMOS33,,
LEDs_8Bits_TRI_IO,3,U21,,,LVCMOS33,,
LEDs_8Bits_TRI_IO,4,V22,,,LVCMOS33,,
LEDs_8Bits_TRI_IO,5,W22,,,LVCMOS33,,
LEDs_8Bits_TRI_IO,6,U19,,,LVCMOS33,,
LEDs_8Bits_TRI_IO,7,U14,,,LVCMOS33,,
BTNs_5Bits_TRI_IO,0,P16,,,LVCMOS25,,
BTNs_5Bits_TRI_IO,1,R16,,,LVCMOS25,,
BTNs_5Bits_TRI_IO,2,N15,,,LVCMOS25,,
BTNs_5Bits_TRI_IO,3,R18,,,LVCMOS25,,
BTNs_5Bits_TRI_IO,4,T18,,,LVCMOS25,,
SWs_8Bits_TRI_IO,0,F22,,,LVCMOS25,,
SWs_8Bits_TRI_IO,1,G22,,,LVCMOS25,,
SWs_8Bits_TRI_IO,2,H22,,,LVCMOS25,,
SWs_8Bits_TRI_IO,3,F21,,,LVCMOS25,,
SWs_8Bits_TRI_IO,4,H19,,,LVCMOS25,,
SWs_8Bits_TRI_IO,5,H18,,,LVCMOS25,,
SWs_8Bits_TRI_IO,6,H17,,,LVCMOS25,,
SWs_8Bits_TRI_IO,7,M15,,,LVCMOS25,,
